time,accX,accY,accZ,pitch,roll,yaw
20.253334,0.008041,0.006363,-0.993012,0.001211,-0.007588,-0.000393
20.356667,0.011780,0.003601,-0.985123,0.002577,0.001883,-0.006084
20.460000,0.007858,0.005508,-0.985229,0.003544,0.006729,0.003221
20.563334,0.009811,0.003555,-0.986145,0.000145,-0.007640,-0.006184
20.666667,0.009766,0.002579,-0.985169,-0.003700,-0.008773,0.000726
20.770000,0.005981,0.004410,-0.991119,-0.008455,0.006551,-0.006193
20.873334,0.007614,-0.004272,-0.985169,-0.014727,-0.007677,0.000585
20.976667,0.012253,0.012222,-0.997818,0.022117,-0.000155,0.036722
21.080000,0.003113,0.006287,-0.994125,0.003629,-0.011237,-0.001660
21.183333,0.007858,-0.001434,-0.992950,0.010890,-0.015965,0.000651
21.286667,0.003799,0.003540,-0.982407,-0.002700,-0.007680,0.005202
21.390000,0.006958,0.003464,-0.991074,0.012029,-0.007689,0.001813
21.493333,0.003891,-0.000504,-0.992111,0.003457,-0.004121,0.002954
21.596667,0.008865,-0.001434,-0.992935,-0.002508,-0.005406,-0.002915
21.700000,0.005905,0.003479,-0.985352,-0.001358,0.002948,-0.000519
21.803333,0.005005,0.004379,-0.992127,0.001084,-0.000620,-0.000538
21.906667,0.007965,0.005447,-0.990097,0.003398,0.010096,0.003005
22.010000,-0.004044,0.004379,-0.985550,0.001237,0.009999,-0.007420
22.113333,-0.058136,0.020370,-0.988098,-0.027144,0.008091,0.050250
22.216667,-0.073425,-0.002365,-0.994171,-0.001295,-0.007462,0.040960
22.320000,-0.116623,0.018723,-0.989639,-0.001924,-0.008810,0.155479
22.423333,-0.083557,-0.009308,-0.991486,-0.006317,0.004060,0.000545
22.526667,-0.073288,0.025711,-1.014771,-0.038290,-0.015360,-0.035706
22.630000,-0.104584,0.001526,-0.968781,-0.009717,0.034922,0.125720
22.733333,-0.040131,0.023117,-0.944870,-0.032785,0.033969,-0.105800
22.836667,-0.028534,0.025772,-0.975677,-0.005069,-0.022578,-0.047193
22.940000,-0.018967,0.009201,-0.987976,0.046877,-0.098845,0.064624
23.043333,-0.058899,-0.018509,-0.992920,-0.005693,-0.053264,0.113336
23.146667,0.032944,0.036026,-0.989990,0.022022,0.076567,-0.149119
23.250000,-0.024643,0.016266,-0.987961,0.024593,0.013156,0.074762
23.353333,0.000458,0.013672,-0.987030,-0.002026,-0.221748,-0.245685
23.456667,0.029907,0.008896,-0.986038,0.054535,0.046330,-0.086755
23.560000,0.051559,0.015198,-0.992828,-0.027592,0.133551,-0.165089
23.663333,0.042099,-0.037552,-0.988022,-0.044542,0.070114,-0.213235
23.766667,0.012619,0.014618,-0.986008,-0.019481,-0.032746,-0.144615
23.870000,0.096329,-0.024826,-0.988861,-0.012698,-0.148771,-0.212732
23.973333,0.115982,0.009613,-0.985977,-0.000137,-0.009903,-0.000918
24.076667,-0.088989,0.022736,-0.985947,0.015182,-0.036864,0.565810
24.180000,0.034393,-0.028198,-0.987030,-0.008447,0.011484,0.126490
24.283333,0.131256,0.010529,-0.987976,0.018884,-0.012829,-0.072660
24.386667,0.128525,0.034210,-0.991882,0.019391,0.032987,-0.138185
24.490000,0.134613,0.009964,-0.984024,0.003305,0.012815,-0.129202
24.593333,0.005615,0.020889,-0.996765,-0.081458,0.014154,-0.106608
24.696667,0.018860,0.023788,-0.990860,0.032538,-0.102405,0.012130
24.800000,0.012222,0.008255,-0.989014,0.013272,0.002173,0.000246
24.903333,0.006958,0.008408,-0.986267,-0.000286,-0.013266,0.005815
25.006667,0.005920,0.006424,-0.986282,-0.005974,-0.008572,-0.009263
25.110000,0.005890,0.003494,-0.987228,0.000022,0.002180,-0.005662
25.213333,0.004974,0.005402,-0.989212,-0.002456,0.011708,-0.004431
25.316667,0.004883,0.004456,-0.986298,-0.003823,0.001050,0.001248
25.420000,0.009827,0.002533,-0.988098,-0.008514,-0.000209,-0.005731
25.523333,0.003998,0.006363,-0.989243,-0.006009,-0.004985,-0.008074
25.626667,0.012054,0.004395,-0.997772,0.006021,0.006986,-0.002115
25.730000,0.006027,0.006363,-0.991135,0.002235,0.011784,0.002536
25.833333,0.004929,0.004425,-0.988251,0.004741,0.005817,0.000181
25.936667,0.007965,0.005447,-0.990097,0.004901,-0.000185,-0.005657
26.040000,0.005020,0.007355,-0.989227,0.002468,-0.007328,-0.005735
26.143333,0.006042,0.007370,-0.990173,-0.012171,-0.004970,-0.005795
26.246667,0.008850,0.004501,-0.986191,0.005991,0.004621,-0.000980
26.350000,0.009857,0.004501,-0.987137,-0.006133,-0.008508,-0.003481
26.453333,0.005814,0.000549,-0.987213,0.001140,0.008175,-0.002132
26.556667,0.006836,0.004517,-0.984283,-0.002602,-0.003700,0.001210
26.660000,0.006912,0.004456,-0.988190,-0.006131,-0.009697,-0.003492
26.763333,0.002945,0.002441,-0.990219,0.006028,-0.002527,-0.002202
