Start Time,Stop Time,Vel X,Vel Y,Vel Z,Tot Vel X,Total Vel Y,Tot Vel Z,Dist X,Dist Y,Dist Z,Tot Dist X,Total Dist Y,Tot Dist Z,Dist Pitch,Dist Roll,Dist Yaw
0.000000,62.150000,1.670022,-0.848984,-107.454810,97.680536,-169.651691,-5819.168226,4.842276,-8.461360,-288.272041,178.991404,-507.827890,-10464.112007,-0.041413,-0.027720,-0.041060

0.000000,62.150000,1.676339,-0.809193,-108.456797,99.356875,-170.460885,-5927.625023,4.925935,-8.502814,-293.669831,183.917339,-516.330704,-10757.781838,-0.041895,-0.028343,-0.037825

0.000000,62.150000,1.682759,-0.770921,-109.458784,101.039634,-171.231806,-6037.083807,5.009913,-8.542317,-299.117721,188.927252,-524.873022,-11056.899559,-0.042197,-0.029001,-0.034180

0.000000,62.150000,1.688915,-0.730188,-110.460771,102.728550,-171.961994,-6147.544578,5.094205,-8.579845,-304.615710,194.021456,-533.452867,-11361.515269,-0.042622,-0.029430,-0.031074

0.000000,62.150000,1.695259,-0.690791,-111.462758,104.423808,-172.652785,-6259.007336,5.178809,-8.615369,-310.163798,199.200265,-542.068236,-11671.679066,-0.042995,-0.029915,-0.027644

0.000000,62.150000,1.700654,-0.652243,-112.464745,106.124462,-173.305028,-6371.472080,5.263707,-8.648945,-315.761985,204.463972,-550.717182,-11987.441052,-0.043317,-0.030302,-0.023515

0.000000,62.150000,1.705795,-0.615272,-113.466731,107.830257,-173.920300,-6484.938812,5.348868,-8.680633,-321.410272,209.812840,-559.397815,-12308.851324,-0.043596,-0.030730,-0.018284

0.000000,62.150000,1.711747,-0.578650,-114.468718,109.542004,-174.498950,-6599.407530,5.434307,-8.710481,-327.108659,215.247147,-568.108296,-12635.959983,-0.043670,-0.031186,-0.012620

0.000000,62.150000,1.718014,-0.543297,-115.470705,111.260018,-175.042247,-6714.878235,5.520051,-8.738530,-332.857144,220.767197,-576.846826,-12968.817127,-0.043728,-0.031950,-0.007390

0.000000,62.150000,1.722390,-0.513366,-116.472692,112.982407,-175.555614,-6831.350928,5.606061,-8.764947,-338.655729,226.373258,-585.611772,-13307.472856,-0.043600,-0.032872,-0.002998

0.000000,62.150000,1.726238,-0.493364,-117.474679,114.708646,-176.048978,-6948.825606,5.692276,-8.790115,-344.504413,232.065534,-594.401887,-13651.977269,-0.043404,-0.033880,0.000654

0.000000,62.150000,1.730870,-0.479254,-118.476794,116.439516,-176.528232,-7067.302400,5.778704,-8.814430,-350.403200,237.844238,-603.216317,-14002.380469,-0.043337,-0.034924,0.003386

0.000000,62.150000,1.735957,-0.466613,-119.478617,118.175473,-176.994844,-7186.781017,5.865375,-8.838077,-356.352085,243.709613,-612.054394,-14358.732555,-0.043405,-0.036018,0.005381

0.000000,62.150000,1.741483,-0.453546,-120.480662,119.916956,-177.448390,-7307.261680,5.952311,-8.861081,-362.351067,249.661924,-620.915475,-14721.083622,-0.043291,-0.037520,0.006809

0.000000,62.150000,1.746677,-0.440282,-121.482802,121.663633,-177.888673,-7428.744482,6.039515,-8.883427,-368.400154,255.701438,-629.798902,-15089.483776,-0.043149,-0.039133,0.008276

0.000000,62.150000,1.751647,-0.427120,-122.485007,123.415280,-178.315792,-7551.229490,6.126973,-8.905112,-374.499349,261.828411,-638.704013,-15463.983126,-0.042989,-0.040683,0.009716

0.000000,62.150000,1.756331,-0.414028,-123.487441,125.171611,-178.729821,-7674.716931,6.214672,-8.926140,-380.648661,268.043083,-647.630154,-15844.631786,-0.042798,-0.042172,0.011172

0.000000,62.150000,1.760926,-0.400912,-124.489723,126.932537,-179.130732,-7799.206653,6.302604,-8.946514,-386.848090,274.345687,-656.576668,-16231.479876,-0.042787,-0.043674,0.012549

0.000000,62.150000,1.765321,-0.387826,-125.492106,128.697858,-179.518559,-7924.698759,6.390760,-8.966232,-393.097635,280.736447,-665.542900,-16624.577511,-0.042710,-0.045159,0.013927

0.000000,62.150000,1.768865,-0.377465,-126.494495,130.466723,-179.896024,-8051.193254,6.479115,-8.985365,-399.397300,287.215561,-674.528264,-17023.974811,-0.042679,-0.046582,0.015166

0.000000,62.150000,1.773404,-0.372984,-127.497020,132.240127,-180.269009,-8178.690274,6.567671,-9.004126,-405.747088,293.783233,-683.532390,-17429.721899,-0.042672,-0.047884,0.016117

0.000000,62.150000,1.779605,-0.375438,-128.499680,134.019732,-180.644446,-8307.189953,6.656496,-9.022836,-412.147006,300.439729,-692.555227,-17841.868905,-0.042650,-0.049229,0.016212

0.000000,62.150000,1.787917,-0.381155,-129.502379,135.807648,-181.025601,-8436.692332,6.745685,-9.041751,-418.597057,307.185414,-701.596978,-18260.465962,-0.042616,-0.050590,0.016306

0.000000,62.150000,1.799262,-0.388791,-130.505114,137.606911,-181.414392,-8567.197446,6.835364,-9.061000,-425.097244,314.020778,-710.657978,-18685.563207,-0.042403,-0.052040,0.016574

0.000000,62.150000,1.806867,-0.400947,-131.507791,139.413778,-181.815339,-8698.705237,6.925517,-9.080743,-431.647567,320.946295,-719.738721,-19117.210774,-0.042206,-0.053433,0.017424

0.000000,62.150000,1.813726,-0.414651,-132.510407,141.227504,-182.229990,-8831.215644,7.016032,-9.101133,-438.248022,327.962327,-728.839854,-19555.458796,-0.042240,-0.054809,0.018401

0.000000,62.150000,1.818127,-0.430815,-133.513284,143.045631,-182.660805,-8964.728929,7.106828,-9.122270,-444.898614,335.069155,-737.962124,-20000.357410,-0.042193,-0.056162,0.020153

0.000000,62.150000,1.826607,-0.450299,-134.515816,144.872237,-183.111104,-9099.244745,7.197947,-9.144298,-451.599342,342.267102,-747.106422,-20451.956752,-0.042148,-0.057380,0.021401

0.000000,62.150000,1.835875,-0.473759,-135.518513,146.708112,-183.584863,-9234.763258,7.289509,-9.167399,-458.350200,349.556611,-756.273821,-20910.306952,-0.041942,-0.058577,0.021914

0.000000,62.150000,1.845347,-0.497244,-136.521085,148.553459,-184.082107,-9371.284343,7.381539,-9.191674,-465.151190,356.938150,-765.465495,-21375.458142,-0.041560,-0.059365,0.021498

