time,accX,accY,accZ,pitch,roll,yaw
10.100000,0.312486,6.862248,1870.256159,0.039383,0.073281,66529.881643
10.150000,0.313546,6.862535,1880.072209,0.039398,0.073461,66529.882365
10.200000,0.314620,6.862824,1889.887495,0.039414,0.073661,66529.883089
10.250000,0.315688,6.863117,1899.701728,0.039430,0.073881,66529.883820
10.300000,0.316742,6.863417,1909.514864,0.039446,0.074111,66529.884578
10.350000,0.317781,6.863727,1919.327019,0.039462,0.074351,66529.885391
10.400000,0.318805,6.864049,1929.138291,0.039481,0.074596,66529.886292
10.450000,0.319815,6.864388,1938.948490,0.039502,0.074860,66529.887278
10.500000,0.320812,6.864746,1948.757398,0.039525,0.075142,66529.888350
10.550000,0.321796,6.865123,1958.565010,0.039548,0.075443,66529.889507
10.600000,0.322767,6.865521,1968.371223,0.039573,0.075767,66529.890751
10.650000,0.323726,6.865938,1978.176037,0.039599,0.076115,66529.892087
10.700000,0.324674,6.866376,1987.979583,0.039628,0.076486,66529.893515
10.750000,0.325621,6.866830,1997.781864,0.039657,0.076884,66529.895051
10.800000,0.326582,6.867302,2007.582691,0.039689,0.077307,66529.896712
10.850000,0.327577,6.867787,2017.381967,0.039721,0.077755,66529.898559
10.900000,0.328622,6.868290,2027.179810,0.039756,0.078228,66529.900594
10.950000,0.329731,6.868806,2036.975184,0.039790,0.078721,66529.902808
11.000000,0.330927,6.869335,2046.768853,0.039823,0.079242,66529.905248
11.050000,0.332219,6.869872,2056.562644,0.039854,0.079796,66529.907880
11.100000,0.333617,6.870413,2066.357095,0.039883,0.080382,66529.910694
11.150000,0.335126,6.870955,2076.152311,0.039911,0.080976,66529.913721
11.200000,0.336765,6.871506,2085.948017,0.039939,0.081566,66529.917008
11.250000,0.338534,6.872057,2095.744174,0.039966,0.082171,66529.920503
11.300000,0.340443,6.872603,2105.540830,0.039995,0.082794,66529.924239
11.350000,0.342496,6.873144,2115.337991,0.040025,0.083383,66529.928117
11.400000,0.344693,6.873676,2125.135846,0.040058,0.083953,66529.932101
11.450000,0.347026,6.874199,2134.934181,0.040095,0.084534,66529.936125
